timeindex,ashp_SDE,gshp_SDE,chp_SDE,tes_SDE,dhw_SDE,space_SDE,excess_heat_SDE
2050-01-01 00:00:00+00:00,0.0,89436.401,0.0,0.0,3888.7171566783327,85547.68406044148,0.0
2050-01-01 01:00:00+00:00,0.0,90999.256,0.0,0.0,4063.9140980528914,86935.3420774039,0.0
2050-01-01 02:00:00+00:00,0.0,93454.469,0.0,0.0,3470.3730583493575,89984.0963282395,0.0
2050-01-01 03:00:00+00:00,0.0,98799.613,0.0,0.0,4275.132840457733,94524.48061264765,0.0
2050-01-01 04:00:00+00:00,0.0,112555.03,0.0,0.0,7134.772635884561,105420.25674701207,0.0
2050-01-01 05:00:00+00:00,12203.397,124154.41,10056.83,4100.0,14345.68226031039,136168.95731283948,0.0
2050-01-01 06:00:00+00:00,22300.342,124154.41,27665.562,4100.0,19981.456766957457,158238.859862257,0.0
2050-01-01 07:00:00+00:00,22300.342,124154.41,19211.081,4100.0,19039.159199097106,150726.67699285073,0.0
2050-01-01 08:00:00+00:00,22300.342,124154.41,15366.573,4100.0,14865.542343361094,151055.7852658998,0.0
2050-01-01 09:00:00+00:00,22300.342,124154.41,10278.493,4100.0,14140.194258978509,146693.05395475516,0.0
2050-01-01 10:00:00+00:00,22300.342,124154.41,3593.1747,4100.0,13585.131052193743,140562.7983612378,0.0
2050-01-01 11:00:00+00:00,21581.543,124154.41,0.0,4100.0,12825.398521373221,137010.55757327413,0.0
2050-01-01 12:00:00+00:00,17628.969,124154.41,0.0,4100.0,12505.29569858136,133378.0864102885,0.0
2050-01-01 13:00:00+00:00,11942.517,124154.41,2988.0922,4100.0,10411.119175048074,132773.9025657353,0.0
2050-01-01 14:00:00+00:00,3703.4285,124154.41,11387.641,4100.0,10926.067194321862,132419.41529650518,0.0
2050-01-01 15:00:00+00:00,943.34933,124154.41,15165.336,4100.0,9824.127553713643,134538.97081621908,0.0
2050-01-01 16:00:00+00:00,4483.4138,124154.41,18314.684,4100.0,10407.025788567375,140645.48476814828,0.0
2050-01-01 17:00:00+00:00,3101.9518,124154.41,23746.142,4100.0,11268.274304109562,143834.23283662426,0.0
2050-01-01 18:00:00+00:00,0.0,124154.41,27117.439,4100.0,11284.647850032456,144087.2041211323,0.0
2050-01-01 19:00:00+00:00,0.0,124154.41,25243.487,4100.0,11822.518833598298,141675.38080669558,0.0
2050-01-01 20:00:00+00:00,0.0,124154.41,20393.642,4100.0,12300.626374545693,136347.4289633986,0.0
2050-01-01 21:00:00+00:00,0.0,124154.41,9977.7943,1293.391,11296.928009474557,124128.67031846714,0.0
2050-01-01 22:00:00+00:00,0.0,111706.88,0.0,0.0,8122.916132328924,103583.96357176386,0.0
2050-01-01 23:00:00+00:00,0.0,93835.154,0.0,0.0,4776.163345697133,89058.99098359833,0.0
